timestamp;accelerometer_x;accelerometer_y;accelerometer_z;gyroscope_x;gyroscope_y;gyroscope_z;magnetometer_x;magnetometer_y;magnetometer_z;
no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;no_units;
;-0.0032043;1.7937;0.4736;0.62679;0.759;-0.38655;206.58;213.06;-370.4;
;0.14835;2.2231;0.26953;0.54034;1.3594;-0.4951;206.58;213.06;-370.4;
;0.16954;2.0494;0.14244;0.34155;1.7374;-0.17443;204.3;213.48;-371.39;
;0.15083;1.3274;-0.046906;0.45401;0.77944;-0.048214;204.3;213.48;-371.39;
;0.16731;0.62721;-0.40598;0.80174;-0.55397;-0.19446;204.3;213.48;-371.39;
;0.034729;0.20351;-0.57051;1.0514;-0.90167;-0.57163;204.3;213.48;-371.39;
;-0.11151;0.031876;-0.5753;1.1769;-0.32588;-1.0006;202.89;214.16;-372.99;
;-0.23651;0.1411;-0.48956;1.1973;0.63408;-1.1577;202.89;214.16;-372.99;
;-0.23039;0.4944;-0.3026;1.1035;1.2827;-0.99001;202.89;214.16;-372.99;
;-0.041229;0.85866;-0.084274;1.0686;1.2469;-0.6177;202.89;214.16;-372.99;
;0.24446;1.0915;0.014069;1.2438;0.56134;-0.23309;199.88;215.09;-375.36;
;0.41606;1.2051;-0.05452;1.4357;-0.1557;-0.046559;199.88;215.09;-375.36;
;0.33727;1.1573;-0.18222;1.3544;-0.53113;-0.019984;199.88;215.09;-375.36;
;0.078506;1.0923;-0.19646;1.0531;-0.4821;-0.042742;199.88;215.09;-375.36;
;-0.22803;1.0751;-0.0336;0.79083;-0.083718;-0.062249;199.4;216.2;-377.47;
;-0.38666;1.0695;0.10086;0.64847;-0.015114;-0.06734;199.4;216.2;-377.47;
;-0.29762;1.063;0.063492;0.56487;-0.5036;-0.071783;199.4;216.2;-377.47;
;-0.10159;1.0439;-0.029526;0.50348;-1.141;-0.063534;199.4;216.2;-377.47;
;0.011185;1.0661;-0.068024;0.45064;-1.4499;0.012732;199.05;216.68;-378.72;
;0.040268;1.0817;-0.085785;0.38779;-1.4962;0.10158;199.05;216.68;-378.72;
;0.064499;1.0344;-0.076141;0.3484;-1.395;0.13042;199.05;216.68;-378.72;
;0.10132;0.93196;-0.041595;0.33549;-1.197;0.094137;199.05;216.68;-378.72;
;0.12993;0.84961;-0.022522;0.34876;-0.99913;0.042281;200.07;216.88;-378.89;
;0.14633;0.83717;-0.043991;0.35737;-0.86081;0.020677;200.07;216.88;-378.89;
;0.14279;0.88132;-0.07637;0.35223;-0.75676;0.023517;200.07;216.88;-378.89;
;0.12155;0.95061;-0.059235;0.34511;-0.65259;0.042318;200.07;216.88;-378.89;
;0.10205;1.0001;-0.026413;0.34481;-0.59047;0.056129;200.27;217.4;-379.3;
;0.083847;1.0173;-0.018417;0.32417;-0.58365;0.03816;200.27;217.4;-379.3;
;0.043335;0.99365;-0.011887;0.29154;-0.64368;-0.014516;200.27;217.4;-379.3;
;0.010345;0.97256;0.0080872;0.2909;-0.70447;-0.10534;200.27;217.4;-379.3;
;0.0080109;0.97459;0.0076599;0.31827;-0.72797;-0.19495;200.42;217.57;-379.6;
;0.03418;0.98799;-0.031967;0.34411;-0.73469;-0.25377;200.42;217.57;-379.6;
;0.077209;1.0072;-0.073059;0.36444;-0.67508;-0.28412;200.42;217.57;-379.6;
;0.11917;1.0214;-0.07164;0.37912;-0.54589;-0.31988;200.42;217.57;-379.6;
;0.1407;1.0108;-0.050323;0.39985;-0.42639;-0.36441;199.95;217.94;-380.11;
;0.14175;0.98482;-0.021957;0.43263;-0.32016;-0.42478;199.95;217.94;-380.11;
;0.14243;0.97006;0.0028534;0.46318;-0.25538;-0.47258;199.95;217.94;-380.11;
;0.13222;0.96579;0.00065613;0.49919;-0.22952;-0.51665;199.95;217.94;-380.11;
;0.1185;0.97371;0.0059662;0.55509;-0.19843;-0.55762;198.97;217.95;-381.09;
;0.11417;0.99245;0.024475;0.62745;-0.15489;-0.59491;198.97;217.95;-381.09;
;0.14024;1.0319;0.040024;0.69374;-0.16208;-0.63784;198.97;217.95;-381.09;
;0.17014;1.0805;0.051697;0.72373;-0.20563;-0.68387;198.97;217.95;-381.09;
;0.18335;1.1052;0.079803;0.70111;-0.25392;-0.72305;197.56;218.11;-382.52;
;0.17763;1.0903;0.1163;0.66607;-0.32634;-0.72367;197.56;218.11;-382.52;
;0.16647;1.0432;0.1293;0.62408;-0.36798;-0.69777;197.56;218.11;-382.52;
;0.15327;0.99303;0.11145;0.56212;-0.37516;-0.65692;197.56;218.11;-382.52;
;0.13919;0.96269;0.078857;0.47502;-0.39151;-0.61527;196.43;218.12;-383.52;
;0.13429;0.95312;0.045334;0.37225;-0.42658;-0.57444;196.43;218.12;-383.52;
;0.15479;0.97774;0.025146;0.28443;-0.47347;-0.52246;196.43;218.12;-383.52;
;0.18797;1.0278;0.025558;0.22376;-0.49791;-0.46632;196.43;218.12;-383.52;
;0.21365;1.0784;0.028763;0.15973;-0.4807;-0.41086;195.33;217.76;-384.37;
;0.22173;1.1034;0.027924;0.073493;-0.45432;-0.35804;195.33;217.76;-384.37;
;0.21794;1.0894;0.025726;-0.051845;-0.43346;-0.31576;195.33;217.76;-384.37;
;0.20581;1.0528;0.018494;-0.19971;-0.42234;-0.29333;195.33;217.76;-384.37;
;0.18919;1.0304;0.018616;-0.36322;-0.41895;-0.30325;194.55;217.36;-384.19;
;0.17413;1.046;0.052948;-0.50674;-0.42311;-0.33645;194.55;217.36;-384.19;
;0.16707;1.1055;0.1156;-0.6584;-0.46948;-0.37682;194.55;217.36;-384.19;
;0.18246;1.1953;0.1685;-0.84403;-0.54239;-0.41247;194.55;217.36;-384.19;
;0.21201;1.2833;0.16812;-1.102;-0.6262;-0.41566;193.82;216.77;-383.38;
;0.23967;1.3394;0.10316;-1.3187;-0.64063;-0.33032;193.82;216.77;-383.38;
;0.22525;1.3521;0.066406;-1.4107;-0.5008;-0.090619;193.82;216.77;-383.38;
;0.16452;1.3032;0.050247;-1.5181;-0.33448;0.20346;193.82;216.77;-383.38;
;0.08252;1.2204;0.025803;-1.7649;-0.22915;0.48062;193.55;215.81;-381.75;
;-0.022781;1.1561;0.013199;-2.0673;-0.20002;0.73571;193.55;215.81;-381.75;
;-0.11896;1.0993;0.016068;-2.3295;-0.16496;0.92743;193.55;215.81;-381.75;
;-0.18156;1.0155;0.040451;-2.4903;-0.085365;1.0407;193.55;215.81;-381.75;
;-0.21904;0.92198;0.042435;-2.6561;-0.045393;1.1108;194.83;214.71;-379.17;
;-0.19589;0.8584;-0.0072021;-2.8541;-0.0056044;1.1911;194.83;214.71;-379.17;
;-0.12448;0.87204;-0.033539;-2.9463;-0.1027;1.2782;194.83;214.71;-379.17;
;-0.049438;1.0069;0.013351;-2.8977;-0.46809;1.3186;194.83;214.71;-379.17;
;-0.016479;1.1994;0.13339;-2.6749;-0.78603;1.3697;196.59;213.35;-375.27;
;0.013779;1.3477;0.27328;-2.2846;-1.0674;1.4282;196.59;213.35;-375.27;
;0.055267;1.4369;0.32805;-1.8344;-1.1819;1.4838;196.59;213.35;-375.27;
;0.08963;1.4451;0.32381;-1.4767;-0.94896;1.5272;196.59;213.35;-375.27;
;0.1187;1.3674;0.27296;-1.263;-0.48019;1.5435;199.97;212.75;-373.01;
;0.15685;1.2425;0.20227;-1.1834;0.04472;1.4801;199.97;212.75;-373.01;
;0.18149;1.1277;0.18988;-1.1412;0.73395;1.3681;199.97;212.75;-373.01;
;0.19727;1.0075;0.21524;-1.1179;1.4077;1.2146;199.97;212.75;-373.01;
;0.21909;0.88446;0.22444;-1.0964;1.8935;1.0903;201.53;212.25;-372.31;
;0.22293;0.77718;0.21291;-1.0836;2.1585;1.0017;201.53;212.25;-372.31;
;0.19333;0.69902;0.19588;-1.0353;2.2328;0.92448;201.53;212.25;-372.31;
;0.14331;0.64371;0.20415;-0.95251;2.1694;0.86224;201.53;212.25;-372.31;
;0.098831;0.6095;0.21252;-0.8818;2.0296;0.84848;200.71;211.74;-372.63;
;0.065369;0.60791;0.21487;-0.82702;1.8945;0.84533;200.71;211.74;-372.63;
;0.028656;0.6487;0.2375;-0.7459;1.7522;0.84799;200.71;211.74;-372.63;
;-0.00041199;0.69994;0.26186;-0.62302;1.531;0.85381;200.71;211.74;-372.63;
;-0.029694;0.72523;0.26666;-0.47148;1.2505;0.86501;200.48;211.62;-372.65;
;-0.051193;0.72429;0.25095;-0.33175;0.95915;0.86467;200.48;211.62;-372.65;
;-0.073364;0.72362;0.22932;-0.20676;0.7285;0.84628;200.48;211.62;-372.65;
;-0.09317;0.72342;0.21823;-0.068181;0.57123;0.79928;200.48;211.62;-372.65;
;-0.10803;0.71068;0.2261;0.096942;0.48964;0.71435;201.45;211.88;-373.13;
;-0.10843;0.6889;0.23735;0.2768;0.40876;0.58498;201.45;211.88;-373.13;
;-0.09845;0.65807;0.23694;0.44572;0.32403;0.43065;201.45;211.88;-373.13;
;-0.072754;0.62888;0.23151;0.56797;0.2297;0.2716;201.45;211.88;-373.13;
;-0.040421;0.61026;0.22156;0.6446;0.15857;0.12087;201.68;212.58;-374.18;
;-0.0082703;0.60712;0.22305;0.71469;0.064444;-0.010659;201.68;212.58;-374.18;
;0.0054626;0.60963;0.23296;0.80102;-0.035363;-0.12556;201.68;212.58;-374.18;
;0.011642;0.60533;0.25552;0.91605;-0.10065;-0.23371;201.68;212.58;-374.18;
;0.023483;0.59033;0.27934;1.0499;-0.16513;-0.34982;201.43;213.64;-375.51;
;0.033096;0.56944;0.28519;1.1914;-0.26968;-0.48556;201.43;213.64;-375.51;
;0.036163;0.5563;0.2749;1.3004;-0.3837;-0.65004;201.43;213.64;-375.51;
;0.046356;0.56152;0.26334;1.3812;-0.46803;-0.81097;201.43;213.64;-375.51;
;0.069992;0.57631;0.26137;1.4518;-0.507;-0.95878;201.16;214.56;-377.3;
;0.10428;0.62172;0.27271;1.5231;-0.49064;-1.0839;201.16;214.56;-377.3;
;0.14212;0.69922;0.31302;1.6167;-0.38277;-1.1708;201.16;214.56;-377.3;
;0.16373;0.80556;0.40698;1.7472;-0.1705;-1.2088;201.16;214.56;-377.3;
;0.17763;0.9339;0.51744;1.826;0.084887;-1.1939;199.35;215.55;-379.93;
;0.21397;1.0553;0.59715;1.728;0.26877;-1.1319;199.35;215.55;-379.93;
;0.28311;1.1459;0.63927;1.3924;0.32076;-0.94426;199.35;215.55;-379.93;
;0.36287;1.2037;0.66196;0.9094;0.18578;-0.59043;199.35;215.55;-379.93;
;0.42903;1.2312;0.64091;0.42391;-0.12096;-0.1318;197.68;216.07;-382.32;
;0.48708;1.195;0.55956;0.029818;-0.48204;0.27994;197.68;216.07;-382.32;
;0.52727;1.0895;0.47151;-0.30636;-0.65372;0.54152;197.68;216.07;-382.32;
;0.48705;0.97487;0.47951;-0.58338;-0.57901;0.68796;197.68;216.07;-382.32;
;0.39539;0.88795;0.52763;-0.70611;-0.50144;0.70849;198.72;216.44;-381.83;
;0.278;0.8548;0.52751;-0.55544;-0.51307;0.60582;198.72;216.44;-381.83;
;0.097229;0.94815;0.51862;-0.24778;-0.42431;0.39936;198.72;216.44;-381.83;
;-0.12459;1.2109;0.61612;0.12378;-0.097161;0.17814;198.72;216.44;-381.83;
;-0.25029;1.786;0.86064;0.64367;0.21382;0.097181;199.54;216.99;-381.94;
;-0.086487;2.4485;0.75609;0.73852;0.082168;0.28568;199.54;216.99;-381.94;
;0.28706;2.2036;0.22083;0.74596;0.26422;0.6311;199.54;216.99;-381.94;
;0.52217;1.4114;-0.31006;1.4338;0.48753;0.53314;199.54;216.99;-381.94;
;0.48727;1.1044;-1.0168;1.8123;0.35064;0.095694;200.44;217.84;-383.97;
;0.10547;0.93661;-1.011;1.6023;0.52923;-0.19262;200.44;217.84;-383.97;
;-0.30882;0.68225;-0.35901;1.6645;0.54543;-0.52829;200.44;217.84;-383.97;
;-0.38805;0.43643;-0.27887;1.6755;0.39164;-1.0157;200.44;217.84;-383.97;
;-0.2747;0.35098;-0.29344;1.2377;0.97096;-1.3554;199.45;218.3;-386.88;
;-0.2925;0.50352;-3.0518e-05;0.81473;1.769;-1.3585;199.45;218.3;-386.88;
;-0.39699;0.76224;0.15356;1.0107;1.3435;-0.9823;199.45;218.3;-386.88;
;-0.3243;1.0078;-0.042953;1.4567;-0.062028;-0.53921;199.45;218.3;-386.88;
;-0.16808;1.1982;-0.29797;1.6122;-0.9164;-0.21036;197.35;218.36;-389.38;
;-0.11241;1.2905;-0.38754;1.1306;-0.93162;-0.043293;197.35;218.36;-389.38;
;-0.27356;1.3137;-0.26344;0.51803;-0.76635;0.053872;197.35;218.36;-389.38;
;-0.42615;1.2366;0.016388;0.20179;-0.97252;0.036685;197.35;218.36;-389.38;
;-0.33612;1.1254;0.15076;0.15614;-1.5288;-0.0065937;197.64;218.77;-390.27;
;-0.091507;1.0674;0.046143;0.1275;-1.8725;-0.022467;197.64;218.77;-390.27;
;0.12752;1.0447;-0.098892;0.070372;-1.8644;-0.02224;197.64;218.77;-390.27;
;0.27193;1.0113;-0.153;0.050718;-1.6201;0.011864;197.64;218.77;-390.27;
;0.34639;0.94492;-0.1346;0.071822;-1.3152;0.040476;198.11;218.73;-389.4;
;0.383;0.86134;-0.11263;0.10512;-1.0648;0.014143;198.11;218.73;-389.4;
;0.36844;0.823;-0.075562;0.16755;-0.8509;-0.03434;198.11;218.73;-389.4;
;0.28754;0.83958;-0.044434;0.21829;-0.61774;-0.079007;198.11;218.73;-389.4;
;0.20128;0.8748;-0.056381;0.2506;-0.44642;-0.096937;198.22;219.08;-389.42;
;0.14616;0.92392;-0.076691;0.28038;-0.3442;-0.099956;198.22;219.08;-389.42;
;0.12668;0.96729;-0.081497;0.29468;-0.32591;-0.10614;198.22;219.08;-389.42;
;0.12411;1.0009;-0.067337;0.30049;-0.30777;-0.13562;198.22;219.08;-389.42;
;0.11516;1.0259;-0.041718;0.30906;-0.31146;-0.182;198.55;218.93;-389.9;
;0.088303;1.0364;-0.027084;0.30234;-0.29999;-0.23859;198.55;218.93;-389.9;
;0.05246;1.0165;-0.0065002;0.29427;-0.27755;-0.28764;198.55;218.93;-389.9;
;0.021133;0.99588;0.0077209;0.28506;-0.27725;-0.33497;198.55;218.93;-389.9;
;0.0091553;0.98181;0.0059204;0.27124;-0.28797;-0.37843;198.01;218.95;-390.15;
;0.016327;0.97998;-0.003891;0.24285;-0.27288;-0.42468;198.01;218.95;-390.15;
;0.035217;0.99127;0.00065613;0.22228;-0.18037;-0.45686;198.01;218.95;-390.15;
;0.05101;1.0038;0.024658;0.22367;-0.071521;-0.47828;198.01;218.95;-390.15;
;0.077545;1.0048;0.052551;0.23567;-0.024125;-0.48003;198.01;218.95;-390.15;
;0.11923;0.99567;0.084442;0.26786;-0.043855;-0.46441;197.06;218.97;-390.68;
;0.16762;0.97821;0.11746;0.32412;-0.11812;-0.45919;197.06;218.97;-390.68;
;0.21428;0.95399;0.13629;0.39811;-0.20517;-0.4806;197.06;218.97;-390.68;
;0.24263;0.92712;0.13278;0.47337;-0.20878;-0.52283;195.9;219.14;-391.33;
;0.24777;0.91431;0.14099;0.5686;-0.15563;-0.56622;195.9;219.14;-391.33;
;0.25227;0.92462;0.15623;0.64096;-0.099172;-0.59757;195.9;219.14;-391.33;
;0.25974;0.95844;0.15074;0.64777;-0.031511;-0.60814;195.9;219.14;-391.33;
;0.25627;0.9953;0.13666;0.58894;0.0094398;-0.58703;194.92;218.79;-392.52;
;0.24338;1.0277;0.12273;0.48589;0.0045338;-0.54299;194.92;218.79;-392.52;
;0.21922;1.0487;0.10838;0.35303;-0.027947;-0.48397;194.92;218.79;-392.52;
;0.18732;1.0526;0.0961;0.19785;-0.091601;-0.4065;194.92;218.79;-392.52;
;0.1508;1.0487;0.097229;0.049944;-0.19537;-0.31856;194.92;218.79;-392.52;
;0.11378;1.0531;0.11157;-0.081562;-0.34643;-0.22681;194.16;218.9;-393.53;
;0.083771;1.0746;0.10654;-0.2223;-0.51119;-0.13868;194.16;218.9;-393.53;
;0.092545;1.0918;0.076614;-0.4016;-0.65015;-0.066909;194.16;218.9;-393.53;
;0.1377;1.0993;0.04126;-0.6406;-0.74576;-0.011827;193.7;218.81;-392.66;
;0.19604;1.1149;-0.019806;-0.93762;-0.8074;0.074505;193.7;218.81;-392.66;
;0.20491;1.1758;-0.046341;-1.1588;-0.72223;0.28089;193.7;218.81;-392.66;
;0.14116;1.2999;0.027863;-1.2731;-0.47757;0.52992;193.7;218.81;-392.66;
;0.10681;1.3922;0.073685;-1.4403;-0.18896;0.68441;194.34;219.1;-390.63;
;0.088455;1.3989;0.043945;-1.6859;0.011768;0.81856;194.34;219.1;-390.63;
;0.0031281;1.3573;0.031448;-1.9103;0.0036025;0.95488;194.34;219.1;-390.63;
;-0.097824;1.3001;0.059052;-2.143;-0.072188;1.0119;194.34;219.1;-390.63;
;-0.17795;1.2312;0.10002;-2.3628;-0.025244;0.99937;195.79;219.6;-387.58;
;-0.23228;1.1407;0.10651;-2.559;-0.02894;0.95101;195.79;219.6;-387.58;
;-0.23904;1.0495;0.12038;-2.6381;-0.10124;0.88965;195.79;219.6;-387.58;
;-0.19527;0.99762;0.1898;-2.6212;-0.27316;0.84082;195.79;219.6;-387.58;
;-0.10721;0.98836;0.26233;-2.5739;-0.65659;0.82073;195.79;219.6;-387.58;
;-0.016251;1.0062;0.29874;-2.4505;-1.0574;0.86153;197.4;218.99;-383.26;
;0.081665;1.0512;0.31874;-2.1793;-1.1029;0.92573;197.4;218.99;-383.26;
;0.17467;1.1055;0.2709;-1.8547;-0.84673;0.97535;197.4;218.99;-383.26;
;0.24698;1.1261;0.16069;-1.5983;-0.28783;1.0328;197.4;218.99;-383.26;
;0.291;1.1321;0.078964;-1.4186;0.35376;1.1098;199.72;218.54;-379.11;
;0.28378;1.1127;0.048141;-1.2542;0.87201;1.175;199.72;218.54;-379.11;
;0.25623;1.0719;0.083359;-1.0658;1.29;1.2225;199.72;218.54;-379.11;
;0.21382;1.0184;0.13661;-0.88663;1.5719;1.2598;199.72;218.54;-379.11;
;0.16595;0.96848;0.16667;-0.77807;1.6609;1.2826;201.12;219.13;-377.4;
;0.11362;0.92018;0.18745;-0.7441;1.6086;1.2933;201.12;219.13;-377.4;
;0.060394;0.86812;0.21255;-0.73422;1.4162;1.2963;201.12;219.13;-377.4;
;0.017395;0.81506;0.25291;-0.69494;1.1639;1.2812;201.12;219.13;-377.4;
;-0.0052032;0.7753;0.28914;-0.6083;0.91721;1.2372;202.09;219.58;-376.72;
;-0.020813;0.76044;0.29094;-0.50779;0.76587;1.171;202.09;219.58;-376.72;
;-0.032852;0.74765;0.25952;-0.44619;0.68173;1.0933;202.09;219.58;-376.72;
;-0.024033;0.73407;0.22508;-0.3913;0.68054;1.0082;202.09;219.58;-376.72;
;-0.0071259;0.73364;0.20724;-0.32005;0.68541;0.92086;203.78;220.2;-376.44;
;0.012878;0.73897;0.19743;-0.22031;0.7085;0.8233;203.78;220.2;-376.44;
;0.035767;0.73686;0.18655;-0.11602;0.73729;0.70237;203.78;220.2;-376.44;
;0.056015;0.72577;0.17342;-0.022092;0.75124;0.5742;203.78;220.2;-376.44;
;0.059128;0.6902;0.17068;0.080854;0.74331;0.43422;204.29;220.5;-376.25;
;0.043152;0.64697;0.18288;0.20052;0.72245;0.28889;204.29;220.5;-376.25;
;0.026657;0.61006;0.18933;0.33697;0.64143;0.13876;204.29;220.5;-376.25;
;0.010803;0.57938;0.19971;0.47937;0.50174;-0.0043671;204.29;220.5;-376.25;
;-0.0043182;0.56314;0.21603;0.63544;0.32597;-0.13555;204.28;221.33;-376.89;
;-0.0103;0.56154;0.23308;0.79947;0.11385;-0.25662;204.28;221.33;-376.89;
;-0.018738;0.5672;0.24512;0.9635;-0.065471;-0.37947;204.28;221.33;-376.89;
;-0.023621;0.57172;0.2567;1.1188;-0.16189;-0.51062;203.52;222.32;-378.33;
